Trial,ID,order_hb,arena_hb,act_hb,exp_hb,idate.x,JDate_hb,order_ym,arena_ym,act_ym,soc_ym,idate.y,JDate_ym,sex,min.ta,max.ta,dawn.ta,group.size,mass,fa,total.inf,total.areas,wing.inf,fur.inf,wing.areas,fur.areas,p.zero,sex_pz
5,0006F25424,16,1,4.0632549292362,-1.62419569113309,2014-08-09,221,5,B,3.00347249977262,1.09867330072153,2014-08-10,222,M,13.5,30.2,15.1,15,7.2,37.8,0.1503,57,0.1296,0.2788,42,15,no,M
6,00069D3E46,15,2,-4.92064319933126,2.20835961291157,2014-08-12,224,6,B,3.09494297119859,1.07562732176474,2014-08-14,226,F,13.4,31.3,13.1,9,8.8,37.7,0.1581,42,0.1292,0.283,29,13,no,F
6,0006A9421F,13,2,0.409072765859289,0.0323101254640257,2014-08-12,224,11,A,-2.32347099039873,0.0204154535105119,2014-08-14,226,M,13.4,31.3,13.1,9,8.1,38.6,0.1041,63,0.1104,0.0749,42,21,no,F
6,0006A942F5,3,2,-3.86914441689742,0.0185075541143001,2014-08-11,223,8,B,-1.29484210619906,-0.488856796371379,2014-08-14,226,M,13.4,31.3,13.1,9,9.3,38.4,0.0886,81,0.0854,0.1051,65,16,no,F
6,0006A94348,2,1,1.74812030063367,0.631936685883672,2014-08-11,223,10,B,0.783195228199061,1.64761821308852,2014-08-14,226,M,13.4,31.3,13.1,3,8,38.1,0.0489,84,0.0531,0.0317,77,7,no,F
6,0006A94526,14,1,0.464102595772926,1.19849176047915,2014-08-12,224,13,A,1.0704546675998,-2.35597657577399,2014-08-14,226,F,13.4,31.3,13.1,3,8.5,37.9,0.1166,67,0.1378,0.0521,42,25,no,F
6,0006A94559,12,1,0.00947862976504186,1.19149941206404,2014-08-12,224,12,B,1.74088738981444,-2.23290740501824,2014-08-14,226,F,13.4,31.3,13.1,9,8.6,36.7,0.0395,44,0.278,0.1007,29,15,no,F
6,0006A9465F,8,1,-2.90891348459039,1.3602459506547,2014-08-12,224,7,A,2.21504553637231,-3.00086996476604,2014-08-14,226,F,13.4,31.3,13.1,9,7.1,39,0.1617,63,0.1524,0.2065,35,28,no,F
6,0006C7C86E,10,1,-1.87121630184702,0.870271495048895,2014-08-12,224,15,A,2.96281895691663,1.10891595803566,2014-08-14,226,F,13.4,31.3,13.1,3,9.1,39.4,0.0746,64,0.0798,0.0504,44,20,no,F
6,0006C8918D,4,1,1.98607785677762,-1.25925893898499,2014-08-11,223,1,A,1.79888448241075,-2.57930967185237,2014-08-14,226,M,13.4,31.3,13.1,3,8.1,37.6,0.0853,60,0.0872,0.0771,47,13,no,F
6,0006DEC2AD,5,2,-1.64754959243916,-0.754703304558947,2014-08-11,223,9,A,-1.89519126359862,0.235532815064826,2014-08-14,226,M,13.4,31.3,13.1,9,8,36.7,0.0731,50,0.0806,0.0456,31,19,no,F
6,0006E94152,9,2,-0.597397225137151,-1.35160120261802,2014-08-12,224,16,B,0.802809186931909,-1.40296616377537,2014-08-14,226,M,13.4,31.3,13.1,9,7.7,38.5,0.1952,56,0.1705,0.3274,42,14,no,F
6,0006E9D96D,7,2,0.526861655919703,1.6187871352002,2014-08-11,223,14,B,2.58677368549872,1.20366053819137,2014-08-14,226,M,13.4,31.3,13.1,3,7.4,38.7,0.0235,25,0.0228,0.0264,20,5,no,F
6,0006EA3ED8,1,2,-0.882938876955281,0.638572234666817,2014-08-11,223,3,A,2.37353186547078,-3.19161417687065,2014-08-14,226,M,13.4,31.3,13.1,1,8.4,37.8,0.2205,74,0.1779,0.3965,51,23,no,F
6,0006EA73AD,16,1,3.78938986946786,1.53873720689504,2014-08-12,224,2,B,-1.11126516579904,-0.658623284109754,2014-08-14,226,F,13.4,31.3,13.1,9,8.2,38,0.1276,69,0.1216,0.1594,49,20,no,F
6,0006F240E3,11,2,1.73595560260762,0.239572437733551,2014-08-12,224,5,A,-1.92572289256908,0.28578926958615,2014-08-14,226,F,13.4,31.3,13.1,3,8.2,40.5,0.1483,38,0.1507,0.1376,21,17,no,F
7,0006A94313,6,1,2.60440710199822,0.856128866056259,2014-08-15,227,7,B,-1.25314406788312,0.352139696659012,2014-08-16,228,F,14.8,36.8,14.5,9,10.1,38.1,0.0952,42,0.0799,0.1699,34,8,no,M
7,0006A944DB,1,2,0.290704879777524,1.45625104068923,2014-08-14,226,5,B,-1.78765087284923,-0.110543854014811,2014-08-16,228,F,14.8,36.8,14.5,9,8.5,38.7,0.1046,45,0.0821,0.2242,35,10,no,M
7,0006C7566C,11,2,-0.648271694374267,-1.41263800994232,2014-08-15,227,11,B,-1.8780356747121,0.652872474007815,2014-08-17,229,F,14.8,36.8,14.5,4,8.8,38.5,0.1713,49,0.1753,0.1529,36,13,no,M
7,0006C75A98,5,2,3.43209968486257,0.312419747603544,2014-08-15,227,9,B,-1.9197994955802,0.597904548751772,2014-08-17,229,M,14.8,36.8,14.5,9,9.7,39.4,0.0217,12,0.0061,0.0906,7,5,no,M
7,0006C7841D,4,1,-1.53168031818894,1.31151097935799,2014-08-14,226,1,B,1.7995337995988,1.39155178023525,2014-08-16,228,M,14.8,36.8,14.5,4,7.4,37.6,0.0755,33,0.0433,0.2047,20,13,no,M
7,0006C866DD,2,1,0.513231825937528,0.228024424671032,2014-08-14,226,13,B,0.910850009834751,0.263390950999592,2014-08-17,229,F,14.8,36.8,14.5,3,8.5,37.2,0.2387,50,0.2303,0.2921,32,18,no,M
7,0006DECB78,13,2,2.6070882126756,0.432595402572704,2014-08-15,227,16,A,-0.573888674444063,-1.5954410271722,2014-08-17,229,M,14.8,36.8,14.5,9,8.1,40.6,0.0068,7,0.0069,0.0061,4,3,no,M
7,0006DF87B8,16,1,1.12842832015424,-0.055178183520793,2014-08-15,227,10,A,2.32271493690079,-3.17881085522799,2014-08-17,229,F,14.8,36.8,14.5,3,8.1,36.8,0.0773,57,0.0863,0.0341,48,8,no,M
7,0006E93493,9,2,2.60555760360477,0.605347517720328,2014-08-15,227,2,A,2.64224979999082,1.20013712780184,2014-08-16,228,M,14.8,36.8,14.5,9,7.6,37,0.0482,44,0.0333,0.1165,26,18,no,M
7,0006E9EB6F,7,2,-2.22825104980981,2.50407263319773,2014-08-15,227,8,A,2.2767889310815,-3.13707708274712,2014-08-16,228,F,14.8,36.8,14.5,4,8.1,36.4,0.1744,61,0.1635,0.2207,43,18,no,M
7,0006E9EB7C,8,1,-1.71672325818291,0.554600256301727,2014-08-15,227,6,A,3.01363588548661,1.096112636393,2014-08-16,228,F,14.8,36.8,14.5,9,8,36.4,0.0374,27,0.0297,0.0721,15,12,no,M
7,0006EA3C24,14,1,1.62767384855109,-1.61962682723371,2014-08-15,227,4,A,3.0746161997706,1.0807486504218,2014-08-16,228,M,14.8,36.8,14.5,3,7.1,36.5,0.0355,37,0.0204,0.106,24,13,no,M
7,0006F22572,3,2,-0.869760964418281,0.257753630977124,2014-08-14,226,3,B,-0.394904853965481,1.74598545726493,2014-08-16,228,F,14.8,36.8,14.5,9,8.3,39.3,0.0372,22,0.0333,0.0562,14,8,no,M
7,0006F23306,10,1,3.1821940863081,1.64129961921886,2014-08-15,227,14,A,-0.179397770967359,0.704037540828049,2014-08-17,229,M,14.8,36.8,14.5,9,7.7,37.2,0.4427,19,9e-04,0.2285,9,10,no,M
7,0006F245A1,12,1,-0.0310496064352503,-0.878432831463112,2014-08-15,227,15,B,-1.62879463041431,0.39701036811685,2014-08-17,229,M,14.8,36.8,14.5,9,8.3,37.4,0.037,11,0.0014,0.2186,6,5,no,M
8,00069D1745,11,2,2.1651913920322,0.198490339314224,2014-08-27,239,5,B,-2.60089600456209,0.476906067889996,2014-08-28,240,F,10.4,29.6,14.2,16,9.3,38.2,0.0415,37,0.0093,0.1697,18,19,no,F
8,0006A9447B,13,2,1.03214343583216,1.31310253679439,2014-08-27,239,13,B,-0.110389496014168,0.0106675983729891,2014-08-28,240,M,10.4,29.6,14.2,16,7.8,38.5,0.0377,40,0.0235,0.1003,22,18,no,F
8,0006A947CA,12,1,-0.260286531558842,2.12863507525722,2014-08-27,239,12,A,0.221939367562867,-1.02446035686554,2014-08-28,240,M,10.4,29.6,14.2,16,8.4,38.2,0.0399,27,0.022,0.1399,15,12,no,F
8,0006C751CA,1,2,1.36134625055533,-0.987386037479319,2014-08-26,238,14,A,-0.857360162043821,0.572024273565294,2014-08-28,240,F,10.4,29.6,14.2,16,10.3,41.3,0.0204,17,1e-04,0.0938,2,15,no,F
8,0006C7E968,7,2,-0.779305559968329,-1.19163257181984,2014-08-27,239,11,B,2.2974972427221,-3.20261997740913,2014-08-28,240,M,10.4,29.6,14.2,16,8,37.6,0.0269,13,0.0033,0.157,3,10,no,F
8,0006C882AE,2,1,0.680265764149774,-1.73038643274193,2014-08-26,238,8,A,-1.02991475307651,-0.937207409912145,2014-08-28,240,M,10.4,29.6,14.2,16,8.3,37.6,0.0897,25,0.0841,0.1158,14,11,no,F
8,0006C88830,16,1,0.917421523457065,-0.605620561157128,2014-08-27,239,2,A,-1.00458783251128,-0.681926193152164,2014-08-28,240,M,10.4,29.6,14.2,16,8.1,38,0.0047,3,0.0052,0.0024,2,1,no,F
8,0006C8B1B6,6,1,-4.34196568450948,0.271911730338643,2014-08-27,239,1,B,0.405152668926644,-0.812858917670261,2014-08-28,240,F,10.4,29.6,14.2,16,8.6,37.5,0.0101,17,0,0.0516,0,17,no,F
8,0006E9055F,5,2,-0.58405171032462,-2.27185814837999,2014-08-27,239,15,B,-1.81488560985887,0.390124066129612,2014-08-28,240,M,10.6,25.2,13,2,13.4,38.5,0.0802,44,0.0644,0.1589,17,27,no,F
8,0006EA526C,8,1,1.48346017176399,0.0294756809426681,2014-08-27,239,6,A,-0.230740552349452,-0.966512286948706,2014-08-28,240,F,10.4,29.6,14.2,16,8.8,38.4,0.0438,31,0.0201,0.1611,15,16,no,F
8,0006EE23EF,3,2,0.403647429539538,-1.67221946280033,2014-08-27,239,3,B,-2.12246693149306,-0.15156785832034,2014-08-28,240,F,10.4,29.6,14.2,16,9.8,37.1,0.0275,45,0.0173,0.0747,28,17,no,F
8,0006EE2ABA,4,1,-2.2728411697933,-0.456358727254154,2014-08-27,239,9,B,-2.10332535770036,0.336119711206289,2014-08-28,240,M,10.4,29.6,14.2,16,8.5,36.7,0.0704,38,0.0618,0.1025,27,11,no,F
8,0006F1E3F4,9,2,-0.00171297963578498,-1.1714165276872,2014-08-27,239,7,B,1.87558811553691,-2.9030826636363,2014-08-28,240,F,10.4,29.6,14.2,16,8.5,38.3,0.0177,21,0.0087,0.0582,6,15,no,F
8,0006F22A75,14,1,1.9931428097149,-1.23090067969602,2014-08-27,239,10,A,-1.16210314059531,0.428864325083777,2014-08-28,240,M,10.4,29.6,14.2,16,6.9,36.2,0.0405,32,0.0131,0.1844,12,20,no,F
8,0006F25504,15,2,-1.5342684907312,-0.140404527959048,2014-08-27,239,4,A,2.36787225778882,-3.21068909067728,2014-08-28,240,M,10.4,29.6,14.2,16,7.3,37.4,0.0538,57,0.1947,0.2136,37,20,no,F
9,0006A940CB,4,1,1.11342251256907,0.0226575479442125,2014-09-02,245,16,B,-1.15758672390009,0.889885224941144,2014-09-05,248,M,10.6,25.2,13,3,8.2,37,0.2703,54,0.2525,0.3579,42,12,no,M
9,0006A943A9,6,1,0.487073561920107,-0.729787242452536,2014-09-03,246,3,A,-1.96744727913472,-0.118364414189857,2014-09-04,247,M,10.6,25.2,13,9,7.3,37.4,0.133,62,0.1186,0.2077,47,15,no,M
9,0006A943D8,15,2,0.363137169409142,-0.938432910523193,2014-09-03,246,6,B,-0.69516689961483,0.187197141929007,2014-09-04,247,F,10.6,25.2,13,9,8.5,37.7,0.2299,45,0.2116,0.3351,37,8,no,M
9,0006C74CD8,9,2,0.798279622041211,1.7293718957424,2014-09-03,246,1,A,3.02845845712273,1.1028318833176,2014-09-04,247,M,10.6,25.2,13,3,8.2,40,0.2269,53,0.1875,0.3735,40,13,no,M
9,0006C7537C,14,1,1.18115700213898,0.235191215186282,2014-09-03,246,14,B,2.47497644264475,1.23182784580523,2014-09-05,248,F,10.6,25.2,13,2,8.8,37.4,0.2681,68,0.2752,0.2321,45,23,no,M
9,0006C88E95,5,2,-0.343284360297377,-0.456923009431091,2014-09-03,246,11,A,-0.170997614045433,-0.391088938707245,2014-09-04,247,M,10.6,25.2,13,9,7.6,36.7,0.1612,50,0.135,0.3384,37,13,no,M
9,0006D78BD3,12,1,-2.09343277747024,-0.283069567932097,2014-09-03,246,4,B,-1.20845268528393,-0.975693323750663,2014-09-04,247,F,10.6,25.2,13,9,8.6,38.2,0.2531,59,0.214,0.4373,49,10,no,M
9,0006E906DE,8,1,-2.49043890691438,-0.316811091703356,2014-09-03,246,15,A,0.0144344036693979,-0.147187613937467,2014-09-05,248,F,10.6,25.2,13,1,8.7,35.5,0.0696,47,0.0547,0.1394,31,16,no,M
9,0006E90942,1,2,1.49344687927535,0.602465798780778,2014-09-02,245,5,A,2.01568034430498,-2.36246690789357,2014-09-04,247,M,3.5,18.9,3.2,2,9.7,37.7,0.0795,45,0.065,0.1559,32,13,no,M
